2025-09-24 22:03:02.821668 +05:30: Daemon started successfully
2025-09-24 22:03:02.825025 +05:30: Watching directory: ./
2025-09-24 22:03:02.832705 +05:30: File changed: /Users/mukesh/projects/LintPulse/config.toml
2025-09-24 22:03:03.349942 +05:30: Processing file: /Users/mukesh/projects/LintPulse/config.toml
2025-09-24 22:03:11.790503 +05:30: File changed: /Users/mukesh/projects/LintPulse/src/watcher.rs
2025-09-24 22:03:12.024383 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/.rustc_info.json
2025-09-24 22:03:12.116936 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/bin-lintpulse
2025-09-24 22:03:12.123581 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/test-bin-lintpulse
2025-09-24 22:03:12.123689 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/libc-27ba057bae1f1744/build-script-build
2025-09-24 22:03:12.123732 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/proc-macro2-f31282f1bf407fdb/build-script-build
2025-09-24 22:03:12.123763 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/unicase-3f986b8ec53405a3/build-script-build
2025-09-24 22:03:12.123797 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/serde_core-417f0deb54a7542c/build-script-build
2025-09-24 22:03:12.123831 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/rand_chacha-13e4b7ed0d253711/build-script-build
2025-09-24 22:03:12.124620 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/rand_pcg-95c1454860fcddd0/build-script-build
2025-09-24 22:03:12.124657 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/rand-fc5aae0121eccdc0/build-script-build
2025-09-24 22:03:12.124686 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/httparse-cf2d93bb4ba0378f/build-script-build
2025-09-24 22:03:12.124716 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/mime_guess-397fc96b963af306/build-script-build
2025-09-24 22:03:12.124744 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/num-traits-1a3631f31fe72eda/build-script-build
2025-09-24 22:03:12.124783 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/build/serde-27bdf1dda35bed12/build-script-build
2025-09-24 22:03:12.128549 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-c0584767108820d2/invoked.timestamp
2025-09-24 22:03:12.128624 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/.fingerprint/lintpulse-4b88f2ff59a74eca/invoked.timestamp
2025-09-24 22:03:12.152881 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm.lock
2025-09-24 22:03:12.152936 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working
2025-09-24 22:03:12.152965 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/query-cache.bin
2025-09-24 22:03:12.152990 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f.lock
2025-09-24 22:03:12.153014 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working
2025-09-24 22:03:12.153038 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/dep-graph.bin
2025-09-24 22:03:12.153062 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf23twmsu-0q5jxbr-9x4hjsw3qsgqt9pmswikt1x3s
2025-09-24 22:03:12.153099 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-163ipmx0bwobq/s-hbf250v1t7-0r4iepm-working/work-products.bin
2025-09-24 22:03:12.159053 +05:30: File changed: /Users/mukesh/projects/LintPulse/target/debug/incremental/lintpulse-2xniugwga4ued/s-hbf250v2by-09hjp8f-working/query-cache.bin
